Pedido,Data Pedido,Data Saída,Previsão Entrega,Data Entrega,Comprador,Materia Prima,Quantidade,Desconto (%),Fornecedor
117,4/13/2019,4/15/2019,4/24/2019,4/25/2019,2,1,127,0,131
118,4/13/2019,4/22/2019,4/26/2019,4/27/2019,3,11,179,0,132
119,4/13/2019,4/17/2019,5/15/2019,5/13/2019,1,5,308,0,133
120,4/14/2019,4/23/2019,5/12/2019,5/14/2019,1,7,213,0,134
121,4/14/2019,4/14/2019,5/11/2019,5/14/2019,1,5,137,0,135
122,4/14/2019,4/15/2019,5/12/2019,5/13/2019,1,11,88,0,136
123,4/14/2019,4/14/2019,5/15/2019,5/15/2019,1,7,63,0,137
124,4/14/2019,4/14/2019,4/23/2019,4/23/2019,4,5,234,0,138
125,4/14/2019,4/15/2019,4/21/2019,4/21/2019,4,6,54,0,139
126,4/14/2019,4/24/2019,4/24/2019,4/28/2019,1,4,255,0,140
127,4/14/2019,4/14/2019,5/1/2019,4/29/2019,3,9,10,0,141
128,4/14/2019,4/15/2019,4/29/2019,4/28/2019,2,10,330,0,142
129,4/14/2019,4/22/2019,5/1/2019,5/3/2019,2,5,173,0,143
130,4/14/2019,4/22/2019,5/6/2019,5/6/2019,1,2,2,0,144
131,4/15/2019,4/19/2019,4/22/2019,4/19/2019,4,10,172,0,145
132,4/15/2019,4/16/2019,4/22/2019,4/17/2019,4,7,325,0,146
133,4/15/2019,4/24/2019,4/27/2019,5/1/2019,4,11,496,0,147
134,4/15/2019,4/22/2019,4/24/2019,4/28/2019,4,10,206,0,148
135,4/15/2019,4/15/2019,4/21/2019,4/23/2019,4,5,284,0,5
136,4/15/2019,4/24/2019,4/27/2019,4/26/2019,4,11,114,0,3
137,4/15/2019,4/26/2019,4/27/2019,4/29/2019,4,6,477,0,1
138,4/15/2019,4/25/2019,4/26/2019,4/28/2019,4,9,312,0,3
139,4/15/2019,4/17/2019,4/26/2019,4/28/2019,4,1,137,0,4
140,4/15/2019,4/17/2019,5/4/2019,5/8/2019,1,9,39,0,5
141,4/15/2019,4/15/2019,4/29/2019,4/30/2019,3,5,329,0,2
142,4/15/2019,4/15/2019,4/25/2019,5/1/2019,1,7,191,0,2
143,4/15/2019,4/15/2019,5/10/2019,5/11/2019,2,5,427,0,2
144,4/15/2019,4/21/2019,5/12/2019,5/11/2019,2,11,335,0,2
145,4/15/2019,4/16/2019,5/16/2019,5/16/2019,1,7,199,0,3
146,4/15/2019,4/21/2019,5/16/2019,5/19/2019,1,7,81,0,4
147,4/16/2019,4/21/2019,4/21/2019,4/23/2019,4,11,33,0,5
148,4/16/2019,4/19/2019,4/23/2019,4/24/2019,4,4,151,0,6
149,4/16/2019,4/23/2019,4/23/2019,4/25/2019,4,4,3,0,7
150,4/16/2019,4/19/2019,4/21/2019,4/24/2019,4,9,123,0,8
151,4/16/2019,4/16/2019,4/24/2019,4/24/2019,4,11,565,0,9
152,4/16/2019,4/26/2019,5/15/2019,5/18/2019,1,9,83,0,10
153,4/17/2019,4/17/2019,4/24/2019,4/28/2019,4,5,402,0,11
154,4/17/2019,4/29/2019,4/29/2019,4/30/2019,4,5,153,20,12
155,4/17/2019,4/27/2019,4/28/2019,5/2/2019,4,10,34,0,13
156,4/17/2019,4/18/2019,5/5/2019,5/7/2019,1,5,278,0,14
157,4/17/2019,4/18/2019,5/5/2019,5/12/2019,1,5,311,0,15
158,4/17/2019,4/26/2019,5/9/2019,5/10/2019,1,11,196,0,16
159,4/18/2019,4/25/2019,4/26/2019,5/2/2019,4,1,128,28,17
160,4/18/2019,4/18/2019,4/25/2019,4/28/2019,4,9,143,0,18
161,4/18/2019,4/18/2019,4/24/2019,4/26/2019,4,7,90,0,19
162,4/18/2019,4/19/2019,4/26/2019,4/25/2019,4,7,101,0,20
163,4/18/2019,4/27/2019,5/3/2019,5/2/2019,1,6,326,0,21
164,4/18/2019,4/18/2019,4/29/2019,4/30/2019,1,4,77,0,22
165,4/18/2019,4/22/2019,5/3/2019,5/2/2019,1,9,130,0,23
166,4/18/2019,4/18/2019,5/7/2019,5/9/2019,1,11,126,0,2
167,4/18/2019,4/27/2019,4/30/2019,5/2/2019,2,11,329,0,1
168,4/18/2019,4/23/2019,4/29/2019,5/2/2019,2,1,48,0,5
169,4/18/2019,4/28/2019,5/1/2019,5/2/2019,2,7,87,0,1
170,4/18/2019,4/22/2019,5/11/2019,5/18/2019,2,9,18,0,1
171,4/18/2019,4/26/2019,5/7/2019,5/9/2019,1,7,423,0,2
172,4/19/2019,4/21/2019,4/26/2019,4/26/2019,4,6,224,0,2
173,4/19/2019,4/23/2019,4/29/2019,5/2/2019,4,7,10,0,4
174,4/19/2019,4/27/2019,5/1/2019,5/3/2019,4,10,243,0,2
175,4/19/2019,4/27/2019,5/1/2019,5/6/2019,4,5,5,26,2
176,4/19/2019,4/28/2019,4/28/2019,5/4/2019,4,10,304,0,1
177,4/19/2019,4/21/2019,5/5/2019,5/8/2019,1,8,65,0,4
178,4/19/2019,4/19/2019,4/29/2019,5/2/2019,2,11,53,0,2
179,4/19/2019,4/20/2019,5/6/2019,5/7/2019,1,9,436,0,3
180,4/19/2019,4/26/2019,5/6/2019,5/10/2019,1,10,4,0,2
181,4/19/2019,4/22/2019,5/18/2019,5/23/2019,1,7,66,0,4
182,4/20/2019,4/29/2019,5/15/2019,5/18/2019,1,8,100,0,3
183,4/20/2019,4/23/2019,4/27/2019,4/30/2019,4,5,529,0,1
184,4/20/2019,4/22/2019,5/10/2019,5/11/2019,1,11,94,0,4
185,4/20/2019,4/23/2019,5/6/2019,5/10/2019,3,5,41,0,4
186,4/20/2019,4/27/2019,5/18/2019,5/20/2019,1,9,246,0,3
187,4/20/2019,4/21/2019,5/22/2019,5/21/2019,1,8,1,0,5
188,4/20/2019,4/20/2019,5/23/2019,5/25/2019,1,11,58,0,4
189,4/21/2019,4/30/2019,5/18/2019,5/22/2019,1,9,422,0,3
190,4/21/2019,4/21/2019,4/30/2019,4/30/2019,4,4,16,0,2
191,4/21/2019,4/22/2019,4/28/2019,5/1/2019,4,5,2,0,5
192,4/21/2019,4/29/2019,5/7/2019,5/12/2019,1,5,217,0,2
193,4/21/2019,4/24/2019,5/12/2019,5/14/2019,1,9,164,0,5
194,4/22/2019,4/22/2019,4/30/2019,4/29/2019,4,8,585,0,4
195,4/22/2019,4/30/2019,5/1/2019,5/3/2019,4,7,335,0,2
196,4/22/2019,5/5/2019,5/11/2019,5/14/2019,1,5,166,0,1
197,4/22/2019,4/28/2019,5/22/2019,5/25/2019,1,11,88,0,1
198,4/22/2019,5/1/2019,5/16/2019,5/18/2019,1,4,87,0,2
199,4/23/2019,5/2/2019,5/5/2019,5/8/2019,4,9,633,0,2
200,4/23/2019,4/23/2019,5/12/2019,5/15/2019,1,11,534,0,59
201,4/23/2019,5/3/2019,5/19/2019,5/20/2019,2,5,159,0,60
202,4/23/2019,4/25/2019,5/25/2019,5/27/2019,1,7,612,0,61
203,4/24/2019,4/26/2019,5/1/2019,5/3/2019,4,11,218,0,62
204,4/24/2019,4/25/2019,5/2/2019,5/2/2019,4,1,297,0,63
205,4/24/2019,4/27/2019,4/30/2019,5/4/2019,4,1,109,17,64
206,4/24/2019,4/25/2019,5/1/2019,5/4/2019,4,6,346,0,65
207,4/24/2019,4/24/2019,5/1/2019,5/3/2019,4,5,442,0,66
208,4/24/2019,4/28/2019,4/30/2019,5/3/2019,4,9,129,0,67
209,4/24/2019,5/4/2019,5/4/2019,5/9/2019,2,11,194,0,3
210,4/24/2019,5/5/2019,5/7/2019,5/7/2019,2,7,44,0,1
211,4/24/2019,5/6/2019,5/6/2019,5/8/2019,3,7,193,0,1
212,4/24/2019,4/25/2019,5/9/2019,5/12/2019,1,1,244,0,3
213,4/24/2019,5/2/2019,5/10/2019,5/14/2019,2,1,287,0,3
214,4/24/2019,5/1/2019,5/11/2019,5/11/2019,2,5,359,0,2
215,4/25/2019,4/25/2019,5/23/2019,5/26/2019,1,9,2,0,2
216,4/25/2019,4/25/2019,4/30/2019,5/4/2019,4,11,22,0,2
217,4/25/2019,5/3/2019,5/6/2019,5/7/2019,4,7,368,0,2
218,4/25/2019,4/30/2019,5/2/2019,5/3/2019,4,9,8,11,3
219,4/25/2019,5/4/2019,5/5/2019,5/10/2019,4,1,85,0,3
220,4/25/2019,4/25/2019,5/11/2019,5/11/2019,2,8,76,0,5
221,4/25/2019,4/30/2019,5/10/2019,5/14/2019,2,7,517,0,2
222,4/25/2019,4/25/2019,5/11/2019,5/14/2019,1,11,201,0,4
223,4/25/2019,5/3/2019,5/26/2019,5/26/2019,1,7,417,0,3
224,4/25/2019,4/25/2019,5/14/2019,5/14/2019,1,1,635,0,2
225,4/25/2019,4/25/2019,5/16/2019,5/17/2019,1,9,282,0,2
226,4/26/2019,4/28/2019,5/3/2019,5/5/2019,4,11,356,0,1
227,4/26/2019,5/4/2019,5/6/2019,5/7/2019,4,5,340,27,2
228,4/26/2019,4/28/2019,5/16/2019,5/18/2019,1,11,89,0,2
229,4/26/2019,4/27/2019,5/28/2019,5/31/2019,1,6,1,0,3
230,4/27/2019,4/28/2019,5/4/2019,5/3/2019,4,5,178,0,3
231,4/27/2019,4/28/2019,5/5/2019,5/7/2019,4,1,420,0,3
232,4/27/2019,5/10/2019,5/16/2019,5/17/2019,1,11,6,0,1
233,4/27/2019,4/27/2019,5/11/2019,5/10/2019,3,8,39,0,2
234,4/27/2019,5/5/2019,5/12/2019,5/14/2019,2,7,152,0,1
235,4/27/2019,5/5/2019,5/14/2019,5/14/2019,2,5,347,0,2
236,4/27/2019,5/5/2019,5/25/2019,5/26/2019,1,5,189,0,2
237,4/27/2019,4/30/2019,5/26/2019,5/30/2019,1,7,323,0,3
238,4/28/2019,5/10/2019,5/29/2019,5/30/2019,1,5,127,0,1
239,4/28/2019,4/29/2019,5/3/2019,5/6/2019,4,9,55,0,59
240,4/28/2019,4/28/2019,5/4/2019,5/7/2019,4,6,17,0,60
241,4/28/2019,5/7/2019,5/7/2019,5/11/2019,4,8,154,35,61
242,4/28/2019,5/6/2019,5/9/2019,5/11/2019,4,11,56,0,62
243,4/28/2019,5/7/2019,5/9/2019,5/12/2019,4,8,28,0,63
244,4/28/2019,4/28/2019,5/14/2019,5/17/2019,1,8,621,0,64
245,4/28/2019,4/28/2019,5/11/2019,5/11/2019,3,1,535,0,65
246,4/28/2019,4/30/2019,5/19/2019,5/19/2019,1,10,70,0,66
247,4/28/2019,4/29/2019,5/13/2019,5/15/2019,2,10,107,0,67
248,4/28/2019,4/28/2019,5/13/2019,5/16/2019,2,10,263,0,2
249,4/28/2019,5/4/2019,5/17/2019,5/20/2019,1,5,205,0,1
250,4/28/2019,5/1/2019,5/21/2019,5/19/2019,1,5,7,0,1
251,4/29/2019,5/8/2019,5/24/2019,5/28/2019,1,5,63,0,3
252,4/29/2019,4/29/2019,5/31/2019,6/4/2019,1,8,192,0,2
253,4/29/2019,5/8/2019,5/10/2019,5/12/2019,4,7,380,0,3
254,4/29/2019,5/8/2019,5/11/2019,5/14/2019,4,9,141,26,2
255,4/29/2019,4/30/2019,5/5/2019,5/9/2019,4,7,147,0,3
256,4/29/2019,5/9/2019,5/21/2019,5/19/2019,1,5,153,0,3
257,4/29/2019,4/29/2019,5/17/2019,5/20/2019,1,5,207,0,4
258,4/29/2019,4/29/2019,5/24/2019,5/24/2019,1,1,522,0,2
259,4/30/2019,5/2/2019,5/7/2019,5/9/2019,4,7,405,0,2
260,4/30/2019,5/4/2019,5/9/2019,5/8/2019,4,7,359,0,3
261,4/30/2019,5/8/2019,5/12/2019,5/16/2019,4,8,247,0,2
262,4/30/2019,4/30/2019,5/8/2019,5/8/2019,4,6,439,0,2
263,4/30/2019,5/8/2019,5/11/2019,5/12/2019,3,7,178,0,2
264,4/30/2019,5/8/2019,5/14/2019,5/17/2019,1,4,348,0,2
265,4/30/2019,5/9/2019,5/20/2019,5/21/2019,1,5,355,0,3
266,4/30/2019,4/30/2019,5/21/2019,5/26/2019,1,3,365,0,5
267,5/1/2019,5/8/2019,5/12/2019,5/12/2019,4,8,101,0,59
268,5/1/2019,5/7/2019,5/8/2019,5/11/2019,4,10,328,21,60
269,5/1/2019,5/1/2019,5/6/2019,5/9/2019,4,4,270,0,61
270,5/1/2019,5/2/2019,5/16/2019,5/18/2019,1,9,324,0,62
271,5/1/2019,5/1/2019,5/30/2019,6/1/2019,1,11,2,0,63
272,5/2/2019,5/12/2019,5/15/2019,5/14/2019,4,9,193,0,64
273,5/2/2019,5/12/2019,6/1/2019,6/2/2019,1,5,39,0,65
274,5/2/2019,5/9/2019,5/10/2019,5/19/2019,4,5,194,0,66
275,5/2/2019,5/12/2019,5/12/2019,5/17/2019,4,11,138,0,67
276,5/2/2019,5/2/2019,5/10/2019,5/10/2019,4,7,33,0,2
277,5/2/2019,5/4/2019,5/8/2019,5/11/2019,4,1,65,0,2
278,5/2/2019,5/9/2019,5/13/2019,5/14/2019,3,9,11,0,3
279,5/2/2019,5/10/2019,5/12/2019,5/16/2019,3,2,470,0,2
280,5/2/2019,5/10/2019,5/14/2019,5/19/2019,2,8,277,15,2
281,5/2/2019,5/10/2019,5/15/2019,5/18/2019,3,4,189,0,2
282,5/2/2019,5/3/2019,5/31/2019,6/1/2019,1,5,232,0,3
283,5/2/2019,5/10/2019,6/3/2019,6/5/2019,1,4,14,0,2
284,5/3/2019,5/3/2019,5/9/2019,5/11/2019,4,8,108,0,2
285,5/3/2019,5/8/2019,5/11/2019,5/10/2019,4,9,396,0,1
286,5/3/2019,5/13/2019,5/14/2019,5/16/2019,4,9,68,0,3
287,5/3/2019,5/12/2019,5/21/2019,5/21/2019,1,1,371,0,2
288,5/3/2019,5/4/2019,5/22/2019,5/23/2019,1,11,193,0,4
289,5/3/2019,5/11/2019,5/15/2019,5/14/2019,2,8,420,0,3
290,5/3/2019,5/7/2019,5/19/2019,5/21/2019,3,10,145,0,1
291,5/3/2019,5/3/2019,5/29/2019,5/29/2019,1,3,18,0,2
292,5/4/2019,5/13/2019,6/1/2019,6/3/2019,1,10,469,0,3
293,5/4/2019,5/6/2019,5/10/2019,5/13/2019,4,5,184,0,4
294,5/4/2019,5/5/2019,5/12/2019,5/13/2019,4,1,35,0,2
295,5/4/2019,5/11/2019,5/23/2019,5/28/2019,1,6,190,0,2
296,5/4/2019,5/7/2019,5/18/2019,5/18/2019,2,5,331,0,5
297,5/4/2019,5/5/2019,5/16/2019,5/18/2019,3,5,248,0,3
298,5/4/2019,5/5/2019,5/18/2019,5/24/2019,1,5,185,0,3
299,5/4/2019,5/6/2019,5/25/2019,5/23/2019,1,7,78,0,4
300,5/4/2019,5/11/2019,5/20/2019,5/21/2019,2,8,25,0,5
301,5/5/2019,5/5/2019,6/3/2019,6/4/2019,1,6,228,0,5
302,5/5/2019,5/7/2019,6/4/2019,6/5/2019,1,10,432,0,2
303,5/5/2019,5/14/2019,5/16/2019,5/19/2019,4,8,64,0,2
304,5/5/2019,5/5/2019,5/15/2019,5/15/2019,4,9,70,0,4
305,5/5/2019,5/7/2019,5/12/2019,5/12/2019,4,5,78,0,4
306,5/5/2019,5/8/2019,5/10/2019,5/13/2019,4,10,64,0,1
307,5/5/2019,5/5/2019,5/14/2019,5/14/2019,4,1,423,0,2
308,5/5/2019,5/13/2019,5/14/2019,5/19/2019,4,2,193,0,2
309,5/5/2019,5/14/2019,5/17/2019,5/22/2019,1,7,571,0,2
310,5/5/2019,5/9/2019,5/22/2019,5/23/2019,1,11,65,0,3
311,5/5/2019,5/20/2019,5/24/2019,5/26/2019,1,7,32,0,1
312,5/5/2019,5/6/2019,5/16/2019,5/19/2019,1,7,334,0,3
313,5/5/2019,5/12/2019,5/18/2019,5/22/2019,1,5,76,0,3
314,5/5/2019,5/5/2019,5/20/2019,5/23/2019,1,9,418,0,3
315,5/5/2019,5/14/2019,5/22/2019,5/24/2019,1,4,385,10,4
316,5/5/2019,5/5/2019,5/18/2019,5/18/2019,3,1,10,0,2
317,5/5/2019,5/5/2019,5/19/2019,5/21/2019,2,11,12,0,2
318,5/5/2019,5/10/2019,6/8/2019,6/10/2019,1,5,55,0,3
319,5/5/2019,5/5/2019,5/25/2019,5/25/2019,1,10,156,0,2
320,5/6/2019,5/13/2019,5/18/2019,5/19/2019,4,11,43,0,2
321,5/6/2019,5/15/2019,5/18/2019,5/23/2019,4,11,113,0,2
322,5/6/2019,5/6/2019,5/14/2019,5/17/2019,4,1,71,0,2
323,5/6/2019,5/8/2019,5/13/2019,5/15/2019,4,8,71,0,3
324,5/6/2019,5/7/2019,5/13/2019,5/14/2019,4,2,419,0,5
325,5/6/2019,5/6/2019,5/25/2019,5/25/2019,1,9,6,29,59
326,5/6/2019,5/15/2019,5/22/2019,5/25/2019,1,5,67,0,60
327,5/6/2019,5/10/2019,5/31/2019,6/1/2019,2,5,142,0,61
328,5/6/2019,5/13/2019,6/5/2019,6/4/2019,1,7,27,0,62
329,5/6/2019,5/9/2019,6/4/2019,6/8/2019,1,1,488,0,63
330,5/6/2019,5/6/2019,5/26/2019,5/27/2019,1,7,466,0,64
331,5/6/2019,5/6/2019,5/28/2019,5/30/2019,1,5,257,0,65
332,5/7/2019,5/18/2019,6/7/2019,6/9/2019,1,9,301,0,66
333,5/7/2019,5/8/2019,5/15/2019,5/17/2019,4,11,373,0,67
334,5/7/2019,5/10/2019,5/27/2019,5/29/2019,1,5,321,0,2
335,5/7/2019,5/12/2019,5/24/2019,5/25/2019,1,7,224,0,2
336,5/8/2019,5/17/2019,6/5/2019,6/8/2019,1,5,374,0,622
337,5/8/2019,5/18/2019,5/21/2019,5/24/2019,4,7,299,31,623
338,5/8/2019,5/8/2019,5/15/2019,5/17/2019,4,7,157,12,624
339,5/8/2019,5/8/2019,5/24/2019,5/27/2019,1,9,417,0,625
340,5/8/2019,5/17/2019,5/28/2019,5/30/2019,1,9,248,0,626
341,5/8/2019,5/9/2019,6/4/2019,6/5/2019,2,11,50,22,627
342,5/8/2019,5/14/2019,5/31/2019,6/2/2019,1,8,198,0,628
343,5/9/2019,5/18/2019,5/20/2019,5/24/2019,4,11,301,0,629
344,5/9/2019,5/9/2019,5/16/2019,5/12/2019,4,1,20,0,630
345,5/9/2019,5/9/2019,5/16/2019,5/18/2019,4,9,469,0,631
346,5/9/2019,5/9/2019,5/18/2019,5/17/2019,4,9,561,0,632
